party,year,score,orientation,counts,random_state
Alliance for the Future of Austria,2006.0,0.5157894736842106,Right-wing,95,2
Team Stronach for Austria,2013.0,0.6255230125523012,Right-wing,478,2
Austrian Social Democratic Party,2002.0,0.1492537313432835,Left-wing,134,2
Austrian Social Democratic Party,2017.0,0.1766467065868263,Left-wing,334,2
Austrian Social Democratic Party,2013.0,0.25,Left-wing,196,2
The New Austria,2017.0,0.3314814814814815,Other,540,2
The Greens,2008.0,0.4222222222222222,Left-wing,45,2
Austrian Freedom Party,2008.0,0.562358276643991,Right-wing,441,2
The Greens,2002.0,0.3148148148148148,Left-wing,54,2
Austrian Freedom Party,2013.0,0.582010582010582,Right-wing,189,2
The New Austria,2013.0,0.2986111111111111,Other,144,2
Austrian Social Democratic Party,2008.0,0.375,Left-wing,88,2
Austrian People’s Party,2017.0,0.24,Right-wing,75,2
The Greens,2013.0,0.3541666666666667,Left-wing,192,2
Alliance for the Future of Austria,2008.0,0.6153846153846154,Right-wing,39,2
Austrian Social Democratic Party,2006.0,0.3134328358208955,Left-wing,67,2
The Greens,2006.0,0.5094339622641509,Left-wing,53,2
Austrian People’s Party,2006.0,0.4532019704433497,Right-wing,203,2
Austrian Communist Party,2008.0,0.1866666666666666,Left-wing,75,2
Austrian People’s Party,2008.0,0.2409638554216867,Right-wing,83,2
Austrian People’s Party,2013.0,0.2222222222222222,Right-wing,18,2
Austrian Freedom Party,2006.0,0.5882352941176471,Right-wing,17,2
Austrian Freedom Party,2002.0,0.6666666666666666,Right-wing,9,2
Austrian Freedom Party,2017.0,0.5555555555555556,Right-wing,9,2
Peter Pilz List,2017.0,0.2578444747612551,Left-wing,733,2
Austrian People’s Party,2008.0,0.3259668508287293,Right-wing,181,3
Austrian Freedom Party,2008.0,0.3645320197044335,Right-wing,203,3
Alliance for the Future of Austria,2006.0,0.4895397489539749,Right-wing,478,3
Austrian Social Democratic Party,2013.0,0.1830985915492957,Left-wing,71,3
Austrian People’s Party,2013.0,0.2307692307692307,Right-wing,91,3
Austrian Communist Party,2008.0,0.4561403508771929,Left-wing,57,3
Austrian Social Democratic Party,2017.0,0.3108614232209737,Left-wing,534,3
Austrian Social Democratic Party,2002.0,0.2624113475177305,Left-wing,423,3
The New Austria,2017.0,0.1368078175895765,Other,307,3
The Greens,2002.0,0.1455696202531645,Left-wing,316,3
Austrian Freedom Party,2006.0,0.5141242937853108,Right-wing,177,3
Austrian Social Democratic Party,2008.0,0.2,Left-wing,80,3
The Greens,2017.0,0.296875,Left-wing,64,3
The Greens,2006.0,0.2641509433962264,Left-wing,212,3
Austrian People’s Party,2006.0,0.1283185840707964,Right-wing,226,3
Alliance for the Future of Austria,2008.0,0.3440860215053763,Right-wing,93,3
Austrian People’s Party,2017.0,0.2836879432624113,Right-wing,141,3
The Greens,2013.0,0.1940298507462686,Left-wing,134,3
Austrian Freedom Party,2013.0,0.3958333333333333,Right-wing,48,3
Austrian Freedom Party,2017.0,0.4444444444444444,Right-wing,9,3
Austrian Social Democratic Party,2006.0,0.0757575757575757,Left-wing,66,3
Austrian People’s Party,2002.0,0.2733333333333333,Right-wing,150,3
Team Stronach for Austria,2013.0,0.4444444444444444,Right-wing,18,3
Austrian Freedom Party,2002.0,0.4583333333333333,Right-wing,24,3
The New Austria,2013.0,0.14,Other,50,3
The Greens,2008.0,0.3,Left-wing,10,3
Peter Pilz List,2017.0,0.2621359223300971,Left-wing,309,3
The New Austria,2017.0,0.2841530054644808,Other,549,4
Austrian Social Democratic Party,2006.0,0.2543859649122807,Left-wing,228,4
Austrian Freedom Party,2017.0,0.2980132450331126,Right-wing,151,4
Austrian Freedom Party,2013.0,0.4270833333333333,Right-wing,192,4
Alliance for the Future of Austria,2008.0,0.5787781350482315,Right-wing,311,4
Austrian Communist Party,2008.0,0.2709677419354839,Left-wing,155,4
Austrian People’s Party,2013.0,0.286783042394015,Right-wing,401,4
Alliance for the Future of Austria,2006.0,0.5380434782608695,Right-wing,184,4
The Greens,2006.0,0.2412060301507537,Left-wing,199,4
Austrian People’s Party,2006.0,0.3108108108108108,Right-wing,74,4
The Greens,2002.0,0.2482269503546099,Left-wing,141,4
The Greens,2013.0,0.4285714285714285,Left-wing,14,4
Austrian Freedom Party,2002.0,0.5115303983228512,Right-wing,477,4
Austrian People’s Party,2017.0,0.28,Right-wing,325,4
Austrian Social Democratic Party,2017.0,0.2333333333333333,Left-wing,90,4
Austrian Freedom Party,2008.0,0.4354838709677419,Right-wing,62,4
Team Stronach for Austria,2013.0,0.5611111111111111,Right-wing,180,4
Austrian Social Democratic Party,2002.0,0.2666666666666666,Left-wing,90,4
Austrian People’s Party,2008.0,0.328125,Right-wing,64,4
The Greens,2017.0,0.1538461538461538,Left-wing,91,4
Austrian Freedom Party,2006.0,0.4567901234567901,Right-wing,81,4
Austrian People’s Party,2002.0,0.0909090909090909,Right-wing,11,4
The New Austria,2013.0,0.2916666666666667,Other,48,4
Austrian Social Democratic Party,2013.0,0.3137254901960784,Left-wing,51,4
Austrian Social Democratic Party,2008.0,0.3859649122807017,Left-wing,57,4
The Greens,2008.0,0.4285714285714285,Left-wing,7,4
Peter Pilz List,2017.0,0.5131578947368421,Left-wing,76,4
Austrian Social Democratic Party,2017.0,0.2641509433962264,Left-wing,53,5
Austrian Freedom Party,2002.0,0.5915915915915916,Right-wing,333,5
The Greens,2013.0,0.2111801242236025,Left-wing,483,5
Austrian People’s Party,2008.0,0.4285714285714285,Right-wing,14,5
The Greens,2017.0,0.3904109589041096,Left-wing,146,5
The New Austria,2017.0,0.175,Other,560,5
Austrian People’s Party,2017.0,0.2468827930174563,Right-wing,401,5
Austrian Social Democratic Party,2006.0,0.2712765957446808,Left-wing,188,5
The Greens,2006.0,0.3153846153846154,Left-wing,130,5
Austrian Freedom Party,2013.0,0.4142857142857143,Right-wing,210,5
Austrian Communist Party,2008.0,0.3063063063063063,Left-wing,222,5
Alliance for the Future of Austria,2006.0,0.5,Right-wing,186,5
The Greens,2008.0,0.2903225806451613,Left-wing,93,5
Austrian Social Democratic Party,2008.0,0.3469387755102041,Left-wing,49,5
Team Stronach for Austria,2013.0,0.4367816091954023,Right-wing,87,5
Austrian People’s Party,2013.0,0.2826086956521739,Right-wing,184,5
The New Austria,2013.0,0.3613707165109034,Other,321,5
Austrian Freedom Party,2008.0,0.4295302013422818,Right-wing,149,5
Austrian People’s Party,2006.0,0.2352941176470588,Right-wing,17,5
Austrian Freedom Party,2017.0,0.4711538461538461,Right-wing,104,5
The Greens,2002.0,0.2435897435897435,Left-wing,78,5
Austrian People’s Party,2002.0,0.2222222222222222,Right-wing,18,5
Austrian Social Democratic Party,2002.0,0.4126984126984127,Left-wing,63,5
Austrian Freedom Party,2006.0,0.4067796610169492,Right-wing,59,5
Alliance for the Future of Austria,2008.0,0.5862068965517241,Right-wing,58,5
Austrian Social Democratic Party,2013.0,0.0,Left-wing,7,5
Peter Pilz List,2017.0,0.2291666666666666,Left-wing,144,5
Austrian Freedom Party,2006.0,0.40625,Right-wing,192,6
Austrian People’s Party,2017.0,0.1578947368421052,Right-wing,95,6
The New Austria,2017.0,0.3050847457627119,Other,118,6
Alliance for the Future of Austria,2008.0,0.2615384615384615,Right-wing,195,6
The Greens,2017.0,0.2459016393442623,Left-wing,427,6
Austrian Social Democratic Party,2013.0,0.1707779886148007,Left-wing,527,6
Austrian Social Democratic Party,2002.0,0.1830985915492957,Left-wing,213,6
Austrian Social Democratic Party,2006.0,0.1614255765199161,Left-wing,477,6
Austrian Freedom Party,2017.0,0.2,Right-wing,10,6
Austrian People’s Party,2006.0,0.2538860103626943,Right-wing,193,6
Austrian People’s Party,2013.0,0.1621621621621621,Right-wing,74,6
Austrian Freedom Party,2008.0,0.6432926829268293,Right-wing,328,6
Austrian Freedom Party,2002.0,0.3170731707317073,Right-wing,82,6
Austrian Freedom Party,2013.0,0.5479876160990712,Right-wing,323,6
Austrian People’s Party,2002.0,0.3875,Right-wing,80,6
The New Austria,2013.0,0.1935483870967742,Other,155,6
The Greens,2006.0,0.125,Left-wing,24,6
Austrian Social Democratic Party,2017.0,0.4444444444444444,Left-wing,18,6
The Greens,2002.0,0.225,Left-wing,160,6
The Greens,2013.0,0.2587064676616915,Left-wing,201,6
Austrian People’s Party,2008.0,0.1538461538461538,Right-wing,39,6
The Greens,2008.0,0.4262295081967213,Left-wing,61,6
Team Stronach for Austria,2013.0,0.3962264150943396,Right-wing,53,6
Austrian Communist Party,2008.0,0.1777777777777777,Left-wing,90,6
Austrian Social Democratic Party,2008.0,0.2,Left-wing,70,6
Alliance for the Future of Austria,2006.0,0.5384615384615384,Right-wing,39,6
Peter Pilz List,2017.0,0.2894736842105263,Left-wing,38,6
Austrian Freedom Party,2013.0,0.4790697674418605,Right-wing,430,7
The New Austria,2013.0,0.2705882352941176,Other,85,7
The Greens,2002.0,0.2202380952380952,Left-wing,168,7
Austrian Social Democratic Party,2013.0,0.131578947368421,Left-wing,304,7
Austrian Social Democratic Party,2002.0,0.1335616438356164,Left-wing,292,7
Austrian Social Democratic Party,2008.0,0.2361904761904762,Left-wing,525,7
Austrian People’s Party,2006.0,0.2284263959390862,Right-wing,197,7
Austrian Freedom Party,2002.0,0.6,Right-wing,190,7
The Greens,2013.0,0.2292993630573248,Left-wing,157,7
Austrian People’s Party,2002.0,0.532258064516129,Right-wing,62,7
Austrian People’s Party,2013.0,0.2307692307692307,Right-wing,65,7
The Greens,2008.0,0.3111111111111111,Left-wing,90,7
Austrian Freedom Party,2006.0,0.4307692307692308,Right-wing,65,7
Alliance for the Future of Austria,2008.0,0.5882352941176471,Right-wing,204,7
The Greens,2017.0,0.25,Left-wing,44,7
Austrian Social Democratic Party,2006.0,0.3979057591623036,Left-wing,191,7
The Greens,2006.0,0.1397849462365591,Left-wing,93,7
The New Austria,2017.0,0.1724137931034483,Other,232,7
Austrian People’s Party,2017.0,0.2619047619047619,Right-wing,84,7
Austrian Communist Party,2008.0,0.32,Left-wing,50,7
Austrian Social Democratic Party,2017.0,0.2377622377622377,Left-wing,143,7
Austrian People’s Party,2008.0,0.6666666666666666,Right-wing,9,7
Alliance for the Future of Austria,2006.0,0.68,Right-wing,25,7
Team Stronach for Austria,2013.0,0.6,Right-wing,10,7
Austrian Freedom Party,2017.0,0.5,Right-wing,16,7
Austrian Freedom Party,2008.0,0.4545454545454545,Right-wing,44,7
Peter Pilz List,2017.0,0.3312538989394885,Left-wing,1603,7
The New Austria,2017.0,0.1079365079365079,Other,315,8
The New Austria,2013.0,0.2243589743589743,Other,156,8
The Greens,2013.0,0.1292134831460674,Left-wing,534,8
Austrian Freedom Party,2008.0,0.5714285714285714,Right-wing,35,8
The Greens,2002.0,0.1741741741741741,Left-wing,333,8
Austrian People’s Party,2013.0,0.2635135135135135,Right-wing,148,8
The Greens,2017.0,0.4210526315789473,Left-wing,57,8
Austrian Social Democratic Party,2002.0,0.1954022988505747,Left-wing,435,8
Alliance for the Future of Austria,2006.0,0.6421052631578947,Right-wing,95,8
Team Stronach for Austria,2013.0,0.465324384787472,Right-wing,447,8
Austrian Communist Party,2008.0,0.3780487804878049,Left-wing,82,8
Austrian Social Democratic Party,2006.0,0.1447368421052631,Left-wing,228,8
Austrian People’s Party,2006.0,0.3923444976076555,Right-wing,209,8
Austrian Freedom Party,2013.0,0.1348314606741573,Right-wing,89,8
Austrian Social Democratic Party,2017.0,0.1818181818181818,Left-wing,66,8
The Greens,2006.0,0.2553191489361702,Left-wing,47,8
Austrian Freedom Party,2006.0,0.4,Right-wing,65,8
Austrian People’s Party,2008.0,0.1818181818181818,Right-wing,132,8
Austrian People’s Party,2017.0,0.2325581395348837,Right-wing,172,8
Alliance for the Future of Austria,2008.0,0.5485436893203883,Right-wing,206,8
Austrian Freedom Party,2017.0,0.3272727272727272,Right-wing,55,8
Austrian People’s Party,2002.0,0.1739130434782608,Right-wing,92,8
Austrian Social Democratic Party,2008.0,0.2727272727272727,Left-wing,11,8
Austrian Freedom Party,2002.0,0.4,Right-wing,10,8
Austrian Social Democratic Party,2013.0,0.3888888888888889,Left-wing,18,8
The Greens,2008.0,0.2105263157894736,Left-wing,19,8
Peter Pilz List,2017.0,0.1969924812030075,Left-wing,665,8
Austrian Communist Party,2008.0,0.20833333333333334,Left-wing,72,9
Austrian Freedom Party,2002.0,0.5494949494949495,Right-wing,495,9
The Greens,2017.0,0.27586206896551724,Left-wing,29,9
Austrian People’s Party,2008.0,0.1625,Right-wing,320,9
Team Stronach for Austria,2013.0,0.5612244897959183,Right-wing,196,9
Austrian People’s Party,2013.0,0.20065789473684212,Right-wing,304,9
Austrian Freedom Party,2006.0,0.5056179775280899,Right-wing,89,9
Austrian Social Democratic Party,2008.0,0.30242825607064017,Left-wing,453,9
Austrian People’s Party,2017.0,0.29064039408866993,Right-wing,203,9
Austrian Social Democratic Party,2013.0,0.3829787234042553,Left-wing,47,9
The New Austria,2013.0,0.30095238095238097,Other,525,9
The Greens,2008.0,0.17699115044247787,Left-wing,226,9
Alliance for the Future of Austria,2006.0,0.4827586206896552,Right-wing,87,9
Austrian Freedom Party,2008.0,0.46236559139784944,Right-wing,186,9
Austrian Social Democratic Party,2002.0,0.21505376344086022,Left-wing,93,9
The Greens,2002.0,0.19205298013245034,Left-wing,151,9
Austrian Social Democratic Party,2017.0,0.2356687898089172,Left-wing,157,9
The Greens,2006.0,0.23387096774193547,Left-wing,124,9
The New Austria,2017.0,0.46,Other,50,9
Austrian Social Democratic Party,2006.0,0.4918032786885246,Left-wing,61,9
Austrian People’s Party,2006.0,0.25396825396825395,Right-wing,63,9
Austrian Freedom Party,2017.0,0.5135135135135135,Right-wing,37,9
Austrian Freedom Party,2013.0,0.38596491228070173,Right-wing,57,9
Austrian People’s Party,2002.0,0.5555555555555556,Right-wing,9,9
Alliance for the Future of Austria,2008.0,0.5,Right-wing,16,9
The Greens,2013.0,0.3333333333333333,Left-wing,6,9
Peter Pilz List,2017.0,0.2887218045112782,Left-wing,665,9
